Country,ISO 3166-1 alpha-3,Year,Total
Afghanistan,AFG,2021,11.874211
Albania,ALB,2021,4.619109
Algeria,DZA,2021,176.26907
Andorra,AND,2021,0.452888
Angola,AGO,2021,21.362717
Anguilla,AIA,2021,0.144744
Antarctica,ATA,2021,0
Antigua and Barbuda,ATG,2021,0.468695
Argentina,ARG,2021,186.448284
Armenia,ARM,2021,6.806045
Aruba,ABW,2021,0.858126
Australia,AUS,2021,391.187411
Austria,AUT,2021,64.625588
Azerbaijan,AZE,2021,38.492804
Bahamas,BHS,2021,2.386463
Bahrain,BHR,2021,39.016088
Bangladesh,BGD,2021,93.175944
Barbados,BRB,2021,1.125301
Belarus,BLR,2021,59.602457
Belgium,BEL,2021,95.722285
Belize,BLZ,2021,0.689321
Benin,BEN,2021,7.755815
Bermuda,BMU,2021,0.54796
Bhutan,BTN,2021,1.522086
"Bonaire, Saint Eustatius and Saba",BES,2021,0.103389
Bosnia and Herzegovina,BIH,2021,13.566311
Botswana,BWA,2021,6.499919
Brazil,BRA,2021,488.88107
British Virgin Islands,VGB,2021,0.158529
Brunei Darussalam,BRN,2021,10.480519
Bulgaria,BGR,2021,42.56021
Burkina Faso,BFA,2021,5.698262
Burundi,BDI,2021,0.692908
Cambodia,KHM,2021,19.028598
Canada,CAN,2021,545.634517
Cape Verde,CPV,2021,0.667694
Central African Republic,CAF,2021,0.227296
Chad,TCD,2021,1.939918
Chile,CHL,2021,85.446923
China,CHN,2021,11472.36917
Christmas Island,CXR,2021,0
Colombia,COL,2021,91.70338
Comoros,COM,2021,0.298171
Congo,COG,2021,7.464369
Cook Islands,COK,2021,0.091403
Costa Rica,CRI,2021,7.819507
C̫te d'Ivoire,CIV,2021,11.706642
Croatia,HRV,2021,17.701451
Cuba,CUB,2021,22.05733
Cura̤ao,CUW,2021,1.843765
Cyprus,CYP,2021,7.600422
Czech Republic,CZE,2021,97.138329
North Korea,PRK,2021,56.380104
Democratic Republic of the Congo,COD,2021,2.606688
Denmark,DNK,2021,29.576956
Djibouti,DJI,2021,0.379178
Dominica,DMA,2021,0.158529
Dominican Republic,DOM,2021,28.922094
Ecuador,ECU,2021,41.321734
Egypt,EGY,2021,249.624151
El Salvador,SLV,2021,7.204384
Equatorial Guinea,GNQ,2021,5.224788
Eritrea,ERI,2021,0.820601
Estonia,EST,2021,10.449021
Ethiopia,ETH,2021,17.792552
Faeroe Islands,FRO,2021,0.698346
Micronesia (Federated States of),FSM,2021,0.158962
Fiji,FJI,2021,1.470402
Finland,FIN,2021,37.602328
Panama Canal Zone,PCZ,2021,0
France,FRA,2021,305.96371
French Equatorial Africa,,2021,0
French Guiana,GUF,2021,0.651382
French Polynesia,PYF,2021,0.9498
French West Africa,,2021,0
Gabon,GAB,2021,5.712477
Gambia,GMB,2021,0.655699
Georgia,GEO,2021,11.009796
Germany,DEU,2021,674.753566
Ghana,GHA,2021,21.312801
Greece,GRC,2021,56.309279
Greenland,GRL,2021,0.510659
Grenada,GRD,2021,0.31921
Guadeloupe,GLP,2021,2.291068
Guatemala,GTM,2021,20.327104
Guinea,GIN,2021,4.841779
Guinea-Bissau,GNB,2021,0.351839
Guyana,GUY,2021,3.087826
Haiti,HTI,2021,2.875923
Honduras,HND,2021,10.897812
Hong Kong,HKG,2021,31.664379
Hungary,HUN,2021,48.454619
